date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:38	2390/2390	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jan%202023%2013:04:01%20GMT	https://swendl.com/robots.txt		(from )
19:03:38	10654/10654	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2013:04:01%20GMT	https://swendl.com/	C:/My%20Web%20Sites/remonp/swendl.com/index.html	(from )
19:03:39	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/remonp/www.google-analytics.com/analytics.js	(from https://swendl.com/)
19:03:39	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2212f9e5fbc04b2a75c5fd5e884a1fd1ac-ssl%22	https://swendl.com/favicon.ico	C:/My%20Web%20Sites/remonp/swendl.com/favicon.ico	(from https://swendl.com/)
19:03:39	75565/75565	---M-Z	200	added ('OK')	text/css	etag:%22d0eebedef331c9c326aa8bf520812d48-ssl-df%22	https://swendl.com/style.css	C:/My%20Web%20Sites/remonp/swendl.com/style.css	(from https://swendl.com/)
19:03:40	100782/100782	---MCZ	200	added ('OK')	text/css	etag:%22c573aa777aad3bd2d4b09f6e7715a73a-ssl-df%22	https://swendl.com/css/all.min.css	C:/My%20Web%20Sites/remonp/swendl.com/css/all.min.css	(from https://swendl.com/)
19:03:40	2292/2292	---M--	200	added ('OK')	image/png	etag:%22d0c94c568522a404959b2f9087e4fbc2-ssl%22	https://swendl.com/images/logo.png	C:/My%20Web%20Sites/remonp/swendl.com/images/logo.png	(from https://swendl.com/)
19:03:41	2418/2418	---M--	200	added ('OK')	image/png	etag:%222a7bf8c1f14fe3a383e151d99ec06f36-ssl%22	https://swendl.com/images/logo-white.png	C:/My%20Web%20Sites/remonp/swendl.com/images/logo-white.png	(from https://swendl.com/)
19:03:41	7704/7704	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2013:04:04%20GMT	https://swendl.com/inproccess	C:/My%20Web%20Sites/remonp/swendl.com/inproccess.html	(from https://swendl.com/)
19:03:44	3201773/3201773	---M--	200	added ('OK')	image/gif	etag:%2279f86f87b0ca295ef1134597fc16f5fa-ssl%22	https://swendl.com/images/blackvideo.gif	C:/My%20Web%20Sites/remonp/swendl.com/images/blackvideo.gif	(from https://swendl.com/)
